"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000232545",34.7593362223759,-0.0107785884239742,0.331291669816822,-0.0325350420972973,0.974045371260635,0.981356335363631
"ENSG00000183762",585.459548080244,1.34204875050549,0.110414994873851,12.154587807922,5.4234638384903e-34,1.65743334468749e-32
"ENSG00000186998",30.8710885858437,0.804365904002868,0.32112888250783,2.50480709714193,0.0122518193819842,0.0260375408860825
"ENSG00000100263",537.915582411707,-0.153130578131484,0.110157202619512,-1.39010953882338,0.164495617153085,0.246250831668711
"ENSG00000237015",19.295823925636,-0.205622075709994,0.405859799045381,-0.506633266447271,0.612412162300693,0.702510664748034
"ENSG00000182944",3829.12469972535,-0.219419702657741,0.0710184970158924,-3.08961343702669,0.00200417156370285,0.00511148696092
"ENSG00000185340",590.251610136087,0.209300871054206,0.100567495516221,2.081198005179,0.0374157860754742,0.0698892600103858
"ENSG00000100276",7.90143926715793,3.9891601232933,0.978325134473739,4.07754026010908,4.55146506148807e-05,0.00015767930379783
"ENSG00000100285",11.3463597932652,4.10886527915331,0.853270831246616,4.8154292033519,1.46883834216019e-06,6.41743341780051e-06
"ENSG00000100296",668.627960655278,-0.172380143550752,0.106358490406249,-1.6207464292914,0.105072031747299,0.169298887718409
"ENSG00000184117",2562.60354694816,0.50437530945278,0.0809068878435693,6.23402188486069,4.54609530031648e-10,3.00148932994789e-09
"ENSG00000186575",1433.9336664256,0.853026496979787,0.0770080166733708,11.0771129270592,1.62012726874538e-28,3.94849453067135e-27
"ENSG00000100314",17.5879526746684,0.981137981903379,0.425848056779258,2.30396256665781,0.0212247449908643,0.0425030755210676
"ENSG00000100319",176.059568660246,0.0413477530970254,0.141712223675598,0.291772664521002,0.770460446813416,0.8313464504634
"ENSG00000184076",545.725403417646,-0.0786898638983398,0.106320242945315,-0.740121182179888,0.45922646687707,0.564092766929809
"ENSG00000239282",26.4366703855826,1.04923245029948,0.358304272248902,2.92832804843201,0.00340790274146231,0.00828318239631396
